"Location","Year","Bacteria","Date","30 Day Geometric Mean Value","Individual Sample Value","30 Day Geometric Mean Exceedence","10% of Individual Samples in Prior 30 Days Exceedence"
"South Kenai Beach 3",2020,"Fecal Coliform",2020-08-18," 60.4",153,"> 14","> 31"
"Warren Ames Bridge",2019,"Enterococci",2019-05-21,"",1,"",""
"Warren Ames Bridge",2019,"Enterococci",2019-05-29,"",1,"",""
"Warren Ames Bridge",2019,"Enterococci",2019-06-04,"",3,"",""
"Warren Ames Bridge",2019,"Enterococci",2019-06-11,"",1,"",""
"Warren Ames Bridge",2019,"Enterococci",2019-06-18,"",1,"",""
"Warren Ames Bridge",2019,"Enterococci",2019-06-25,"  1.9",8,"",""
"Warren Ames Bridge",2019,"Enterococci",2019-07-02,"  1.9",1,"",""
"Warren Ames Bridge",2019,"Enterococci",2019-07-09,"  1.7",2,"",""
"Warren Ames Bridge",2019,"Enterococci",2019-07-17,"  2.6",7,"",""
"Warren Ames Bridge",2019,"Enterococci",2019-07-23,"  3.0",2,"",""
"Warren Ames Bridge",2019,"Enterococci",2019-08-01,"  4.7",18,"",""
"Warren Ames Bridge",2019,"Enterococci",2019-08-06,"  4.0",2,"",""
"Warren Ames Bridge",2019,"Enterococci",2019-08-20,"  2.9",1,"",""
"Warren Ames Bridge",2019,"Enterococci",2019-09-04,"  2.2",5,"",""
"Warren Ames Bridge",2020,"Enterococci",2020-05-26,"",1,"",""
"Warren Ames Bridge",2020,"Enterococci",2020-06-04,"",6,"",""
"Warren Ames Bridge",2020,"Enterococci",2020-06-09,"",2,"",""
"Warren Ames Bridge",2020,"Enterococci",2020-06-18,"",1,"",""
"Warren Ames Bridge",2020,"Enterococci",2020-06-23,"",2,"",""
"Warren Ames Bridge",2020,"Enterococci",2020-06-29,"  1.9",1,"",""
"Warren Ames Bridge",2020,"Enterococci",2020-07-07,"  1.6",3,"",""
"Warren Ames Bridge",2020,"Enterococci",2020-07-13,"  1.6",2,"",""
"Warren Ames Bridge",2020,"Enterococci",2020-07-20,"  1.6",1,"",""
"Warren Ames Bridge",2020,"Enterococci",2020-07-27,"  1.2",0.5,"",""
"Warren Ames Bridge",2020,"Enterococci",2020-08-05,"  1.4",2,"",""
"Warren Ames Bridge",2020,"Enterococci",2020-08-11,"  1.0",0.5,"",""
"Warren Ames Bridge",2020,"Enterococci",2020-08-18,"  1.3",8,"",""
"Warren Ames Bridge",2019,"Fecal Coliform",2019-05-29,"",7,"",""
"Warren Ames Bridge",2019,"Fecal Coliform",2019-06-04,"",10,"",""
"Warren Ames Bridge",2019,"Fecal Coliform",2019-06-11,"",11,"",""
"Warren Ames Bridge",2019,"Fecal Coliform",2019-06-18,"",17,"",""
"Warren Ames Bridge",2019,"Fecal Coliform",2019-06-25,"",24,"",""
"Warren Ames Bridge",2019,"Fecal Coliform",2019-07-02," 10.6",3,"",""
"Warren Ames Bridge",2019,"Fecal Coliform",2019-07-09," 11.0",12,"",""
"Warren Ames Bridge",2019,"Fecal Coliform",2019-07-17," 15.6",62,"> 14","> 31"
"Warren Ames Bridge",2019,"Fecal Coliform",2019-07-23," 18.6",42,"> 14","> 31"
"Warren Ames Bridge",2019,"Fecal Coliform",2019-08-01," 34.8",47,"> 14","> 31"
"Warren Ames Bridge",2019,"Fecal Coliform",2019-08-06," 27.6",11,"> 14","> 31"
"Warren Ames Bridge",2019,"Fecal Coliform",2019-08-20," 19.7",7,"> 14","> 31"
"Warren Ames Bridge",2019,"Fecal Coliform",2019-09-04,"  7.3",5,"",""
"Warren Ames Bridge",2020,"Fecal Coliform",2020-05-26,"",3,"",""
"Warren Ames Bridge",2020,"Fecal Coliform",2020-06-04,"",38,"",""
"Warren Ames Bridge",2020,"Fecal Coliform",2020-06-09,"",32,"",""
"Warren Ames Bridge",2020,"Fecal Coliform",2020-06-18,"",15,"",""
"Warren Ames Bridge",2020,"Fecal Coliform",2020-06-23,"",17,"",""
"Warren Ames Bridge",2020,"Fecal Coliform",2020-06-29," 15.9",3.3,"> 14","> 31"
"Warren Ames Bridge",2020,"Fecal Coliform",2020-07-07," 14.3",22,"> 14","> 31"
"Warren Ames Bridge",2020,"Fecal Coliform",2020-07-13," 12.3",15,"",""
"Warren Ames Bridge",2020,"Fecal Coliform",2020-07-20," 15.3",46,"> 14","> 31"
"Warren Ames Bridge",2020,"Fecal Coliform",2020-07-27,"  8.7",1,"","> 31"
"Warren Ames Bridge",2020,"Fecal Coliform",2020-08-05," 10.0",6.7,"","> 31"
"Warren Ames Bridge",2020,"Fecal Coliform",2020-08-11,"  6.0",1.7,"","> 31"
"Warren Ames Bridge",2020,"Fecal Coliform",2020-08-18,"  7.2",36,"","> 31"
